Hour,Total,Straight,LeftTurn,RightTurn,UTurn,Timestamp
15:00,202,99,0,10,0,2025-09-09 15:29
2025-09-09 15:41:54,0,0,0,0,0
2025-09-09 15:42:55,0,0,0,0,0
2025-09-09 15:51:55,0,0,0,0,0,0
2025-09-09 15:51:59,11,4,0,0,0,7
2025-09-09 15:52:05,16,5,0,0,0,11
2025-09-09 15:52:09,20,7,0,0,0,13
2025-09-09 15:52:13,30,10,0,1,0,19
2025-09-09 15:52:18,36,11,0,1,0,24
2025-09-09 15:52:22,49,13,0,1,0,35
2025-09-09 15:53:40,0,0,0,0,0,0
2025-09-09 15:53:51,0,0,0,0,0,0
2025-09-09 15:53:57,13,0,0,0,0,13
2025-09-09 15:54:00,19,1,0,0,0,18
2025-09-09 15:54:04,24,2,0,0,0,22
2025-09-09 15:54:08,26,4,0,0,0,22
2025-09-09 15:54:34,0,0,0,0,0,0
2025-09-09 15:54:38,13,0,0,0,0,13
2025-09-09 15:54:42,19,1,0,0,0,18
2025-09-09 15:54:46,24,2,0,0,0,22
2025-09-09 15:54:49,26,4,0,0,0,22
2025-09-09 16:00:57,0,0,0,0,0,0
2025-09-09 16:02:16,0,0,0,0,0,0
2025-09-09 16:02:20,11,4,0,0,0,7
2025-09-09 16:02:25,16,5,0,0,0,11
2025-09-09 16:02:29,20,7,0,0,0,13
2025-09-09 16:02:33,30,10,0,1,0,19
2025-09-09 16:02:38,36,11,0,1,0,24
2025-09-09 16:02:42,49,13,0,1,0,35
2025-09-09 16:02:47,53,13,0,1,0,39
2025-09-09 16:02:51,64,15,0,3,0,46
2025-09-09 16:02:55,67,16,0,4,0,47
2025-09-09 16:03:00,73,18,0,4,0,51
2025-09-09 16:03:04,76,18,0,4,0,54
2025-09-09 16:03:08,77,18,0,4,0,55
2025-09-09 16:03:15,78,18,0,4,0,56
2025-09-09 16:03:24,82,20,0,4,0,58
2025-09-09 16:03:28,88,21,0,6,0,61
2025-09-09 16:03:35,93,21,0,6,0,66
2025-09-09 16:03:39,106,23,0,7,0,76
2025-09-09 16:03:45,113,23,0,7,0,83
2025-09-09 16:03:49,114,23,0,7,0,84
2025-09-09 16:03:58,117,23,0,7,0,87
2025-09-09 16:04:02,119,23,0,7,0,89
2025-09-09 16:04:06,123,23,0,7,0,93
2025-09-09 16:04:12,123,23,0,7,0,93
2025-09-09 16:04:17,128,25,0,8,0,95
2025-09-09 16:04:24,128,25,0,8,0,95
2025-09-09 16:04:29,131,25,0,8,0,98
2025-09-09 16:04:33,133,26,0,8,0,99
2025-09-09 16:04:38,138,26,0,9,0,103
2025-09-09 16:04:42,141,26,0,9,0,106
2025-09-09 16:04:47,145,27,0,10,0,108
2025-09-09 16:04:51,148,28,0,10,0,110
2025-09-09 16:04:55,151,30,0,10,0,111
2025-09-09 16:05:00,152,30,0,10,0,112
2025-09-09 16:05:05,156,31,0,12,0,113
2025-09-09 16:05:09,163,34,0,13,0,116
2025-09-09 16:05:14,176,37,0,14,0,125
2025-09-09 16:05:19,179,39,0,14,0,126
2025-09-09 16:05:23,185,40,0,15,0,130
2025-09-09 16:05:28,194,42,0,15,0,137
2025-09-09 16:05:33,200,43,0,15,0,142
2025-09-09 16:05:37,200,43,0,15,0,142
2025-09-09 16:05:42,206,45,0,16,0,145
2025-09-09 16:05:47,210,45,0,16,0,149
